director_name,actor_1_name
James Cameron,CCH Pounder
Doug Walker,Doug Walker
Gore Verbinski,Johnny Depp
Sam Mendes,Christoph Waltz
Christopher Nolan,Tom Hardy
Gore Verbinski,Johnny Depp
Andrew Stanton,Daryl Sabara
Nathan Greno,Brad Garrett
Sam Raimi,J.K. Simmons
Joss Whedon,Chris Hemsworth
Anthony Russo,Robert Downey Jr.
Zack Snyder,Henry Cavill
Peter Jackson,Aidan Turner
David Yates,Alan Rickman
Peter Jackson,Aidan Turner
Peter Jackson,Aidan Turner
Rob Marshall,Johnny Depp
Bryan Singer,Kevin Spacey
Marc Forster,Giancarlo Giannini
Gore Verbinski,Johnny Depp
Zack Snyder,Henry Cavill
Andrew Adamson,Peter Dinklage
Marc Webb,Emma Stone
Colin Trevorrow,Bryce Dallas Howard
Michael Bay,Glenn Morshower
Michael Bay,Bingbing Li
Brett Ratner,Hugh Jackman
Ridley Scott,Mark Addy
Peter Berg,Liam Neeson
James Cameron,Leonardo DiCaprio
Lee Unkrich,Tom Hanks
Shane Black,Robert Downey Jr.
Sam Raimi,J.K. Simmons
Sam Mendes,Albert Finney
Dan Scanlon,Steve Buscemi
Sam Raimi,Tim Holmes
Bryan Singer,Jennifer Lawrence
Marc Webb,Emma Stone
John Lasseter,Joe Mantegna
Joseph Kosinski,Jeff Bridges
Roland Emmerich,Oliver Platt
McG,Christian Bale
Martin Campbell,Ryan Reynolds
Mike Newell,Jake Gyllenhaal
Michael Bay,Glenn Morshower
Bryan Singer,Eddie Marsan
James Wan,Jason Statham
J.J. Abrams,Benedict Cumberbatch
Marc Forster,Peter Capaldi
Robert Zemeckis,Robin Wright
Guillermo del Toro,Charlie Hunnam
Peter Sohn,A.J. Buckley
Jon Favreau,Robert Downey Jr.
Christopher Nolan,Christian Bale
Steven Spielberg,Harrison Ford
Mark Andrews,Kelly Macdonald
Justin Lin,Sofia Boutella
Andrew Adamson,Jim Broadbent
Robert Stromberg,Angelina Jolie Pitt
Andrew Stanton,John Ratzenberger
Martin Scorsese,Chloë Grace Moretz
Lana Wachowski,Channing Tatum
Bryan Singer,Jennifer Lawrence
Doug Liman,Tom Cruise
Pete Docter,Amy Poehler
Pete Docter,John Ratzenberger
Rob Letterman,Amy Poehler
David Ayer,Will Smith
Stephen Sommers,Joseph Gordon-Levitt
Barry Sonnenfeld,Will Smith
Rob Cohen,Jet Li
Tom Shadyac,Jimmy Bennett
Kevin Reynolds,Jeanne Tripplehorn
Carl Rinsch,Keanu Reeves
James Gunn,Bradley Cooper
Jon Favreau,Robert Downey Jr.
Anthony Russo,Scarlett Johansson
Matt Reeves,Gary Oldman
Robert Zemeckis,Tom Hanks
Rupert Sanders,Chris Hemsworth
Jonathan Mostow,Nick Stahl
James Bobin,Johnny Depp
Mike Mitchell,Jon Hamm
Don Hall,Damon Wayans Jr.
Dean DeBlois,Gerard Butler
Rich Moore,Jack McBrayer
Christopher Nolan,Matthew McConaughey
Roland Emmerich,Vivica A. Fox
Chris Miller,Justin Timberlake
Francis Lawrence,Jennifer Lawrence
Matthew Vaughn,Jennifer Lawrence
David Fincher,Brad Pitt
Jon Turteltaub,Nicolas Cage
Wolfgang Petersen,Jimmy Bennett
Duncan Jones,Dominic Cooper
Michael Apted,Bruce Spence
Alan Taylor,J.K. Simmons
Oliver Stone,Anthony Hopkins
Michael Bay,Jennifer Garner
Chris Buck,Josh Gad
David Yates,Robert Pattinson
Mike Newell,Robert Pattinson
Lana Wachowski,Steve Bastoni
Francis Lawrence,Will Smith
Peter Berg,Will Smith
Tim Burton,Johnny Depp
Brad Bird,Janeane Garofalo
Alan Taylor,Chris Hemsworth
Christopher Nolan,Christian Bale
Christopher McQuarrie,Tom Cruise
Kenneth Branagh,Chris Hemsworth
Eric Darnell,Bernie Mac
Gavin Hood,Hugh Jackman
Shawn Levy,Robin Williams
Jennifer Yuh Nelson,Angelina Jolie Pitt
George Miller,Tom Hardy
Lana Wachowski,Essie Davis
J.J. Abrams,Philip Seymour Hoffman
Ron Howard,Tom Hanks
M. Night Shyamalan,Seychelle Gabriel
Steve Hickner,Matthew Broderick
Hoyt Yeatman,Kelli Garner
Jonathan Liebesman,Liam Neeson
Robert Zemeckis,Robin Wright
Tim Burton,Johnny Depp
Roland Emmerich,Channing Tatum
Joe Johnston,Anthony Hopkins
Simon Wells,Elisabeth Harnois
David Bowers,Hugh Jackman
Eric Darnell,Jada Pinkett Smith
Brad Bird,Tom Cruise
Dean DeBlois,Gerard Butler
Gideon Raff,Gideon Emery
Rob Minkoff,Ty Burrell
Peter Ramsey,Hugh Jackman
Breck Eisner,Matthew McConaughey
Lee Tamahori,Toby Stephens
J.J. Abrams,Chris Hemsworth
Michael Bay,Bruce Willis
Joe Johnston,Chris Evans
Alessandro Carloni,J.K. Simmons
Jon M. Chu,Channing Tatum
Edward Zwick,Tom Cruise
Dean Parisot,John Michael Higgins
Ridley Scott,Christian Bale
Steven Spielberg,Mark Rylance
Alex Proyas,Gerard Butler
Sam Raimi,J.K. Simmons
Zack Snyder,Matt Frewer
Rob Cohen,Sam Shepard
Louis Leterrier,Ty Burrell
Ang Lee,Kevin Rankin
Hironobu Sakaguchi,Steve Buscemi
Kirk De Micco,Ryan Reynolds
Alejandro G. Iñárritu,Leonardo DiCaprio
Michael Apted,Colin Salmon
Gore Verbinski,Johnny Depp
Peter Weir,James D'Arcy
David Soren,Ryan Reynolds
Dave Green,Stephen Amell
George Miller,Robin Williams
,Don Johnson
Steven Spielberg,Tom Cruise
Eric Darnell,Benedict Cumberbatch
Francis Lawrence,Jennifer Lawrence
Alfonso Cuarón,Daniel Radcliffe
Paul Greengrass,Matt Damon
Mark Osborne,Angelina Jolie Pitt
Peyton Reed,Judy Greer
Chris Miller,Salma Hayek
Tom McGrath,J.K. Simmons
Michael Bay,Will Smith
Carlos Saldanha,Miguel Ferrer
Phillip Noyce,Angelina Jolie Pitt
Steven Spielberg,Toby Jones
M. Night Shyamalan,Will Smith
Baz Luhrmann,Essie Davis
Robert Schwentke,Ryan Reynolds
Eric Leighton,Alfre Woodard
Shawn Levy,Robin Williams
Matt Birch,Rupert Grint
Francis Lawrence,Jennifer Lawrence
Chris Columbus,Daniel Radcliffe
Gore Verbinski,Johnny Depp
Matt Birch,Rupert Grint
Ron Howard,Tom Hanks
Justin Lin,Paul Walker
Guy Ritchie,Robert Downey Jr.
Roland Emmerich,Jake Gyllenhaal
Ridley Scott,Michael Fassbender
Tony Gilroy,Jeremy Renner
Joel Schumacher,Michael Gough
John McTiernan,Tony Curran
Ron Howard,Clint Howard
Wolfgang Petersen,Karen Allen
Tim Story,Chris Evans
Ang Lee,Suraj Sharma
Mark Steven Johnson,Nicolas Cage
Paul Greengrass,Matt Damon
McG,Demi Moore
Neill Blomkamp,Matt Damon
Joseph Kosinski,Morgan Freeman
Rob Minkoff,Nathan Lane
David Twohy,Vin Diesel
Lana Wachowski,Scott Porter
James L. Brooks,Shelley Conn
James Mangold,Tom Cruise
George Lucas,Natalie Portman
George Lucas,Natalie Portman
George Lucas,Natalie Portman
Pete Docter,Steve Buscemi
James Mangold,Hugh Jackman
Roger Donaldson,Jamie Renée Smith
Cedric Nicolas-Troyan,Chris Hemsworth
John Woo,Nicolas Cage
Frédéric Forestier,Alain Delon
Rob Letterman,James Corden
Alfonso Cuarón,Phaldut Sharma
Shawn Levy,Robin Williams
Doug Liman,Brad Pitt
Brad Peyton,Dwayne Johnson
Raja Gosnell,Mahadeo Shivraj
Len Wiseman,Bruce Willis
Steven Soderbergh,Brad Pitt
Roger Spottiswoode,Vincent Schiavelli
Roland Emmerich,Heath Ledger
Noam Murro,Eva Green
Martin Scorsese,Leonardo DiCaprio
Michel Gondry,Christoph Waltz
Shawn Levy,Hugh Jackman
Raja Gosnell,Jacob Tremblay
Tony Scott,Denzel Washington
Gavin Hood,Harrison Ford
Will Finn,Steve Buscemi
Jan de Bont,Jason Patric
Peter Jackson,Christopher Lee
Bo Welch,Sean Hayes
Michael Mann,Will Smith
Ridley Scott,Matt Damon
Alex Proyas,Will Smith
Rob Minkoff,Chazz Palminteri
Ron Clements,Oprah Winfrey
Christopher Barnard,Mathew Buck
Peter Chelsom,Del Zamora
Dominic Sena,Nicolas Cage
Ridley Scott,Djimon Hounsou
Michael Mann,Johnny Depp
Steven Spielberg,Tom Cruise
Tom Tykwer,Tom Hanks
Chris Columbus,Daniel Radcliffe
James Cameron,Joe Morton
Joel Schumacher,Michael Gough
Jon Turteltaub,Nicolas Cage
Quentin Tarantino,Leonardo DiCaprio
Paul Weitz,Robert De Niro
James Cameron,Jamie Lee Curtis
Ridley Scott,Denzel Washington
Phil Lord,Will Forte
Adam McKay,Dwayne Johnson
Martin Scorsese,Leonardo DiCaprio
Chris Wedge,Josh Hutcherson
Chuck Russell,Vanessa Williams
Gary Trousdale,Demi Moore
